a.accountNumber,a.pagerank,a.degree,a.in_degree,a.out_degree,a.betweenness,a.community_id,a.community_size,a.triangle_count,a.cycle_count,a.intermediate_accounts,a.is_fraud,a.fraud_score,fraud_score,predicted_fraud_score
ACC00008,0.668038829505315,4.0,3.0,4.0,604.9746753246753,96,27,3,3,1,1,0.6442979574346522,0.7030434092226931,0.7030434092226931
ACC00077,0.4182656320125285,6.0,3.0,6.0,305.3471944721944,96,27,4,1,1,1,0.6083407399177869,0.6295257906762605,0.6295257906762605
ACC00012,0.5457135131059999,6.0,2.0,6.0,331.2112304362305,67,33,1,1,1,1,0.5950062492188476,0.5152865201804305,0.5152865201804305
ACC00064,1.8084198014411197,1.0,5.0,1.0,373.8190836940838,67,33,3,1,1,0,0.594138893517747,0.8287305182327706,0.8287305182327706
ACC00044,0.9702332150627035,4.0,4.0,4.0,751.0159354534355,67,33,2,2,1,0,0.5800124984376953,0.6287379218580952,0.6287379218580952
ACC00039,0.5993837880000987,6.0,2.0,6.0,322.714393939394,58,2,2,0,1,0,0.5650062492188477,0.49956262941813817,0.49956262941813817
ACC00071,0.3176938428884913,5.0,1.0,5.0,201.43482073482073,67,33,1,0,1,0,0.5641722212964505,0.43200163012092374,0.43200163012092374
ACC00002,1.9153581606743135,5.0,3.0,5.0,530.3405122655123,53,2,1,1,1,0,0.5625093738282715,0.6092459781202187,0.6092459781202187
ACC00068,0.7074925005451389,4.0,3.0,4.0,422.4770562770564,67,33,2,1,1,0,0.5542979574346523,0.6033152631653024,0.6033152631653024
ACC00007,1.161212460127529,5.0,1.0,5.0,241.42792207792212,96,27,0,0,1,0,0.5541722212964505,0.13591786603271264,0.13591786603271264
ACC00037,0.7778160275764472,4.0,5.0,4.0,390.2682567432568,67,33,2,1,1,0,0.5510987668036885,0.5823376203732538,0.5823376203732538
ACC00022,0.2591730648836253,4.0,1.0,4.0,82.66547619047618,21,3,1,0,1,0,0.5500079984003199,0.4487770667394603,0.4487770667394603
ACC00038,0.2912322035845908,2.0,1.0,2.0,81.49365079365081,58,2,1,1,1,0,0.5483555481506165,0.6007336951434861,0.6007336951434861
ACC00075,1.3006308721914257,4.0,3.0,4.0,653.7297813297813,96,27,1,1,1,0,0.5442979574346523,0.5324084667154552,0.5324084667154552
ACC00023,0.2644598893542763,4.0,2.0,4.0,71.78690476190475,67,33,3,0,1,0,0.5433444425929012,0.5174624692547021,0.5174624692547021
ACC00009,0.4077361746473206,3.0,2.0,3.0,448.6825396825397,96,27,1,1,1,0,0.5425159968006399,0.515731995882126,0.515731995882126
ACC00080,1.0212178670601175,5.0,3.0,5.0,547.7429556554556,2,27,3,0,1,0,0.5425093738282715,0.450383054124236,0.450383054124236
ACC00024,0.5787886861665528,1.0,2.0,1.0,11.833333333333332,67,33,1,1,1,0,0.5407889036987671,0.6144605764706242,0.6144605764706242
ACC00041,0.3578816068093819,5.0,2.0,5.0,194.6007936507936,67,33,1,0,1,0,0.5403653049564348,0.3899033057511244,0.3899033057511244
ACC00045,0.6592972286520992,5.0,2.0,5.0,373.44267676767674,67,33,1,0,1,0,0.5403653049564348,0.3624306781090476,0.3624306781090476
ACC00028,0.2625441294354332,4.0,1.0,4.0,188.86334776334775,96,27,0,0,1,0,0.5400079984003199,0.13424622279636267,0.13424622279636267
ACC00049,0.7736337757007449,4.0,1.0,4.0,275.55952380952374,2,27,0,0,1,0,0.5400079984003199,0.07541677514565885,0.07541677514565885
ACC00056,0.4971167515085801,4.0,1.0,4.0,258.0920634920634,75,2,0,0,1,0,0.5400079984003199,0.09644566585285536,0.09644566585285536
ACC00014,1.231768039139904,3.0,6.0,3.0,499.8534451659452,67,33,3,0,1,0,0.5358185201644261,0.4926270226571593,0.4926270226571593
ACC00072,0.8127515585156841,4.0,2.0,4.0,243.74940476190477,67,33,2,0,1,0,0.5333444425929011,0.4723832942523136,0.4723832942523136
ACC00099,0.3734053193876415,3.0,1.0,3.0,135.44920634920635,67,33,1,0,1,0,0.5325124968757811,0.415108432516936,0.415108432516936
ACC00005,2.068649577245496,1.0,7.0,1.0,241.0631535131535,67,33,0,0,1,0,0.5324781277340332,0.3442122280812608,0.3442122280812608
ACC00094,0.99736051810263,4.0,6.0,4.0,466.4208333333334,2,27,3,0,1,0,0.52998800119988,0.4160146836392493,0.4160146836392493
ACC00027,2.3384459953936196,1.0,6.0,1.0,233.25595238095235,53,2,0,0,1,0,0.5289040851306956,0.3898490214361431,0.3898490214361431
ACC00073,1.1908193380702243,2.0,4.0,2.0,361.87539682539665,21,3,3,0,1,0,0.5283111148141976,0.542956086374094,0.542956086374094
ACC00034,1.756133867109667,5.0,5.0,5.0,698.6645202020201,2,27,4,0,1,0,0.5275099990001,0.5196794010198094,0.5196794010198094
ACC00069,1.1981188911911915,3.0,6.0,3.0,379.1135628260628,67,33,2,0,1,0,0.5258185201644262,0.48445878969966744,0.48445878969966744
ACC00004,1.611819403271674,2.0,6.0,2.0,137.32599206349207,2,27,1,0,1,0,0.524981252343457,0.45699497102350817,0.45699497102350817
