a.accountNumber,a.pagerank,a.degree,a.in_degree,a.out_degree,a.betweenness,a.community_id,a.community_size,a.triangle_count,a.cycle_count,a.intermediate_accounts,a.is_fraud,a.fraud_score
ACC06334,1.1447598442765274,18.0,11.0,18.0,194616.8614682935,7266,168,1,6,1,1,0.8191405468776939
ACC07009,1.028616016048144,15.0,10.0,15.0,126514.03390588325,8946,401,2,9,1,1,0.8025031998720051
ACC01969,1.843488219933852,15.0,11.0,15.0,163116.79167210474,6870,959,1,6,1,1,0.7878878696973193
ACC06704,0.9204791439021469,13.0,7.0,13.0,109854.18782658476,5826,257,1,9,1,1,0.7875034998250087
ACC05528,1.7061902403795666,13.0,7.0,13.0,170054.5058135278,7266,168,1,18,1,1,0.7875034998250087
ACC00885,0.6905169127915457,21.0,6.0,21.0,129683.5604900587,6803,545,1,3,1,1,0.7855572015851264
ACC08602,1.260421084079772,12.0,6.0,12.0,63618.10752669296,7266,168,1,18,1,1,0.7833370368312871
ACC02634,0.8733206034116114,12.0,6.0,12.0,71786.89318342398,7266,168,1,6,1,1,0.7833370368312871
ACC00518,0.924045552997784,13.0,8.0,13.0,96396.0382421565,8946,401,1,9,1,1,0.7813131517546783
ACC04008,0.8419654949012052,12.0,8.0,12.0,82891.5661190283,2535,424,2,12,1,1,0.7800039998000099
ACC00082,1.2685874274282185,11.0,5.0,11.0,109528.70987388452,6200,433,1,9,1,1,0.7800039060058747
ACC08895,0.7667910017119385,11.0,5.0,11.0,77865.1534070191,6803,545,1,9,1,1,0.7800039060058747
ACC01370,1.2718685912731116,11.0,5.0,11.0,109336.29695375999,8946,401,1,9,1,1,0.7800039060058747
ACC00836,0.6692005781974241,10.0,4.0,10.0,40559.685773236655,8946,401,1,6,1,1,0.7778612241982715
ACC07944,0.6108403516287899,14.0,5.0,14.0,70251.68694878193,6803,545,1,4,1,1,0.7723711909899479
ACC04212,1.1926848190793569,11.0,6.0,11.0,84628.20008736248,4657,406,1,18,1,1,0.7719159167107817
ACC07639,0.7187610403415151,16.0,3.0,16.0,70208.06576698962,5826,257,1,3,1,1,0.7684227145939687
ACC09063,1.4652398206991333,13.0,13.0,13.0,127495.08639736086,6803,545,2,9,1,1,0.7675038460059228
ACC07497,1.3845630311193835,11.0,7.0,11.0,127188.54439296323,3668,708,1,6,1,1,0.7647265429698351
ACC07899,1.1946047179600843,10.0,7.0,10.0,71770.2387049138,8946,401,2,13,1,1,0.7626519028292453
ACC07501,2.4961890474252093,5.0,22.0,5.0,167825.94635079408,7266,168,1,18,1,1,0.7604569275212029
ACC03758,1.4843037546939442,11.0,15.0,11.0,97097.30420218695,2535,424,1,6,1,1,0.7578801776854737
ACC06735,2.7803689655249766,12.0,11.0,12.0,138649.56263751452,3568,865,1,9,1,1,0.7543519846963175
ACC03364,1.197656112148065,10.0,7.0,10.0,85104.49647875215,7266,168,1,18,1,1,0.7526519028292453
ACC04963,0.8147238496247476,7.0,3.0,7.0,33280.6430145033,8492,679,1,6,1,1,0.75250599940006
ACC05659,1.5989952411994124,9.0,15.0,9.0,143775.1468980472,7266,168,1,18,1,1,0.7524947918836714
ACC06039,0.8527038224314902,12.0,5.0,12.0,79536.80946686825,6870,959,1,4,1,1,0.751179930592318
ACC07957,3.3482672023630613,4.0,16.0,4.0,42692.29040632485,8946,401,1,12,1,1,0.74999200039998
ACC01813,2.1598981523205,5.0,16.0,5.0,113056.48025863324,6803,545,1,9,1,1,0.7498736964906432
ACC02933,2.553999921245727,5.0,12.0,5.0,55129.270463335575,8946,401,2,12,1,1,0.7486681665784365
ACC09557,1.2488806040201683,17.0,9.0,17.0,185908.7801772831,8946,401,2,3,1,1,0.7482718933887157
ACC00708,1.304678559883386,9.0,6.0,9.0,78736.94676109002,1453,312,1,6,1,1,0.7475053329778014
ACC03354,1.7507510626555896,11.0,10.0,11.0,120058.00882428391,6803,545,1,9,1,1,0.7472664396933479
ACC08727,1.6015951955383108,10.0,8.0,10.0,107334.73942170865,5018,678,1,6,1,1,0.7461160491083829
ACC09584,1.032944781631764,9.0,13.0,9.0,69127.24889366707,4657,406,1,18,1,1,0.7456764465251579
ACC08354,1.1596109910663186,16.0,6.0,16.0,110895.7727999516,6200,433,1,3,1,1,0.7454570246806963
ACC01309,2.7305425388000164,5.0,14.0,5.0,116420.5665801757,6200,433,1,9,1,1,0.7448606652281458
ACC05219,1.2137956888652135,9.0,10.0,9.0,61039.390074939394,2535,424,2,12,1,1,0.7427576180201041
ACC02681,1.1890963445326481,11.0,11.0,11.0,130805.72984408977,8492,679,1,9,1,1,0.7425045452479433
ACC05115,1.9876589312471016,7.0,13.0,7.0,116783.31900136059,4657,406,1,12,1,1,0.7424935003249837
ACC08637,1.2925521907908333,13.0,8.0,13.0,171730.3379184105,5826,257,1,4,1,1,0.7413131517546784
ACC05272,1.6120388133443742,10.0,11.0,10.0,169802.8075243459,5615,410,1,9,1,1,0.7397569163373172
ACC00849,0.9655034818923268,10.0,11.0,10.0,119293.37244127036,3668,708,1,6,1,1,0.7397569163373172
ACC09382,1.104553494895683,10.0,11.0,10.0,120864.01878081822,3668,708,1,12,1,1,0.7397569163373172
ACC00925,1.6903148286639866,15.0,13.0,15.0,269930.20642792806,6803,545,1,4,1,1,0.7396461733509518
ACC03984,0.895362686643655,3.0,11.0,3.0,15778.380515020977,6200,433,1,9,1,1,0.7396316334547532
ACC03490,2.5998131547359775,7.0,12.0,7.0,101748.87863676151,6803,545,1,6,1,1,0.738809141624125
ACC08875,1.358478701446406,7.0,12.0,7.0,88719.38851530504,6803,545,1,9,1,1,0.738809141624125
ACC09441,2.142992806138352,8.0,11.0,8.0,78599.55669812682,8946,401,1,12,1,1,0.7357833798221146
ACC09367,1.3999262137742345,10.0,10.0,10.0,88736.29818822071,3568,865,1,9,1,1,0.7350049997500125
ACC03999,1.3148714768381933,3.0,9.0,3.0,32662.690350012213,5615,410,1,9,1,1,0.7324875010415799
ACC07713,1.4706388338978742,8.0,10.0,8.0,121243.15407268262,3568,865,1,9,1,1,0.7311049386145214
ACC03017,2.556773100554511,5.0,10.0,5.0,69911.89678625102,1453,312,1,6,1,1,0.7308244450369974
ACC08829,1.5269326911152385,7.0,10.0,7.0,71869.8001985572,7356,726,1,6,1,1,0.7301401388153638
ACC07629,1.7529681012606766,8.0,8.0,8.0,119475.50877695411,3038,126,2,5,1,1,0.7300062496093994
ACC02625,1.9666171449692016,6.0,10.0,6.0,75339.19037689822,6803,545,1,6,1,1,0.7299921879882507
ACC02760,0.7751376478532372,7.0,5.0,7.0,55397.5159778906,5826,257,1,9,1,1,0.7291736105324557
ACC00008,1.398414502369648,15.0,7.0,15.0,111500.05811825681,6200,433,1,3,1,1,0.7288665287941457
ACC07849,0.22346728904810526,9.0,1.0,9.0,12684.293617840518,6870,959,1,3,1,1,0.72750199980002
ACC00065,1.3501711164417654,8.0,7.0,8.0,70587.80639913511,5615,410,1,9,1,1,0.7266728884741017
ACC07651,1.4334271708065118,5.0,9.0,5.0,69531.42890057316,3568,865,1,6,1,1,0.7260622455538889
ACC00252,1.0439053873358306,8.0,9.0,8.0,77782.78012696587,7266,168,1,18,1,1,0.7258761249338274
ACC03465,1.5684557752914434,3.0,7.0,3.0,34657.015521253474,7356,726,1,6,1,1,0.72248600139986
ACC00631,1.8365986329939432,8.0,8.0,8.0,72978.34815970738,6803,545,1,6,1,1,0.7200062496093994
ACC01995,0.8585830171001562,12.0,4.0,12.0,64880.66395042442,7356,726,1,3,1,1,0.7200031248046996
ACC08417,0.6982791348263431,20.0,5.0,20.0,114731.4360056886,5073,591,2,1,1,1,0.7200015999360025
ACC06335,0.9096216381137591,6.0,8.0,6.0,65661.41566052164,2535,424,1,9,1,1,0.7192775516034569
ACC01044,1.7255823429859132,12.0,14.0,12.0,229060.7403615623,6803,545,1,4,1,1,0.7176881658397753
ACC09084,1.3255978671056665,17.0,8.0,17.0,154853.52955999167,5018,678,2,2,1,1,0.7135025598976041
ACC06033,1.2420916981920127,7.0,7.0,7.0,87243.7484081178,4657,406,1,18,1,1,0.7125071423469752
ACC06673,1.0121279578999245,12.0,5.0,12.0,105541.28746555315,3568,865,1,3,1,1,0.711179930592318
ACC08315,0.33098801160750485,10.0,4.0,10.0,28803.64585955268,3568,865,2,3,1,1,0.7078612241982715
ACC07224,1.1731520593435794,5.0,6.0,5.0,52493.28469983981,8946,401,1,12,1,1,0.7065809926370329
ACC01483,1.043190962986222,15.0,12.0,15.0,198102.2435481241,7356,726,1,3,1,1,0.7036144031702529
ACC01505,0.9409962983906467,12.0,6.0,12.0,116617.30980420059,6870,959,1,3,1,1,0.7033370368312871
ACC06214,0.9465485951156114,12.0,6.0,12.0,98861.19083047169,5018,678,1,3,1,1,0.7033370368312871
ACC03164,0.5437215882264788,13.0,4.0,13.0,52705.88038549745,3568,865,2,2,1,1,0.7004439444738546
ACC05099,1.2714805343131064,10.0,9.0,10.0,100518.3066311358,2535,424,1,4,1,1,0.7002681437819062
ACC06331,0.21618522347798488,9.0,1.0,9.0,11556.591167940001,4657,406,2,2,1,1,0.69750199980002
